Date,Open,High,Low,Close,Adj Close,Volume
01-12-2017,33247.66016,33300.80859,32797.78125,32832.94141,32832.94141,9200
04-12-2017,32968.01953,33008.46875,32785.76172,32869.71875,32869.71875,9600
05-12-2017,32814.03125,32893.05078,32682.51953,32802.44141,32802.44141,8600
06-12-2017,32798.5,32804.75,32565.16016,32597.17969,32597.17969,9600
07-12-2017,32615.05078,32992.44922,32598.11914,32949.21094,32949.21094,9500
08-12-2017,33034.19922,33285.67969,33034.19922,33250.30078,33250.30078,14200
11-12-2017,33317.71875,33535.96875,33313.17188,33455.78906,33455.78906,12000
12-12-2017,33426.58984,33458.41016,33179.75,33227.98828,33227.98828,8200
13-12-2017,33229.73047,33404.26172,32988.82031,33053.03906,33053.03906,24500
14-12-2017,33114.69141,33321.51953,32886.92969,33246.69922,33246.69922,11200
15-12-2017,33456.01953,33621.96094,33405.82031,33462.96875,33462.96875,24200
18-12-2017,33364.51953,33801.89844,32595.63086,33601.67969,33601.67969,21100
19-12-2017,33732.07813,33862.07031,33666.62109,33836.73828,33836.73828,20600
20-12-2017,33928.58984,33956.30859,33754.94141,33777.37891,33777.37891,7100
21-12-2017,33826.25,33860.98828,33707.80078,33756.28125,33756.28125,9900
22-12-2017,33768.46875,33964.28125,33767.73047,33940.30078,33940.30078,7800
26-12-2017,33980.76172,34061.87891,33889.75,34010.60938,34010.60938,12900
27-12-2017,34087.32031,34137.96875,33839.51172,33911.80859,33911.80859,10900
28-12-2017,33928.85938,34023.64844,33752.03125,33848.03125,33848.03125,9500
